vehicle_id,article_id
77369,bosch-rdatbcnxxb
77461,vdo-sjpdjwxblg
77349,valeo-aqpouplrvs
77710,valeo-cxhzbjgrsp
77622,ferodo-ibhtwycoyj
77356,bosch-iumjvlpllm
77636,delphi-fltbtcxgik
77752,ferodo-izuiguanfk
77584,bosch-dtidcqoaiu
77750,ferodo-yddtsebtjp
77458,vdo-vtoasqihez
77604,bosch-haezlgwysr
77810,bosch-fiftlzzudg
77547,bosch-wknhexojve
77397,delphi-mlqatrtzli
77386,vdo-bplebdjzcy
77690,brembo-vkqhmoacga
77630,bosch-xxwysclknu
77662,purflux-tvdlefthny
77575,bosch-duvtrxwpjz
77712,delphi-udumirsgyp
77384,delphi-zawnphipqw
77582,ferodo-kvugyvbrho
77518,valeo-vwwbdxwjja
77414,ferodo-lltqypbhsu
77496,delphi-mymunxlnxe
77743,bosch-gczkuxutel
77593,valeo-oejdivauko
77664,vdo-cxfhbxwvqq
77763,delphi-ankkwrpnsc
77360,delphi-jjhhtpkrra
77773,bosch-jbwjkzgpvm
77637,ferodo-tljyqgdsjw
77606,ferodo-lexurhqiil
77756,purflux-fgtajxldsq
77630,delphi-fltbtcxgik
77449,ferodo-zbjadzfchd
77395,valeo-jbmkefrrmd
77778,valeo-wdyebbigpr
77559,brembo-bhlqipwlzw
77711,bosch-vygeofwwia
77378,purflux-hdhiycnchw
77514,vdo-lmsmvcphkv
77735,purflux-wwzhumopdz
77406,bosch-abkfljuyjj
77809,bosch-fbkdxwtwnp
77547,bosch-qnuoenxref
77719,bosch-ekxpuggjlg
77779,bosch-vygeofwwia
77520,brembo-jcovycuwbi
77588,brembo-zlfnrgerai
77682,bosch-emfukjjjau
77495,bosch-fbssjhctyg
77670,ferodo-neittsreze
77379,bosch-yctfpwfuch
77529,delphi-iqpyztpgjo
77356,valeo-furlxmriqs
77390,brembo-zbzjcnryzs
77679,valeo-mpunaiwolh
77760,valeo-smhaauoagw
77475,purflux-tvdlefthny
77488,ferodo-zfqmkjmsyy
77425,mann-dnvhktuosf
77674,bosch-meukggbsse
77785,bosch-gpvqzjvwyx
77538,bosch-lnalidpkyh
77659,bosch-gwiigrxxrm
77670,bosch-nnihboncjd
77443,bosch-mhjibbyqwn
77716,valeo-sevpcalssp
77692,mann-gswpxvvusl
77641,bosch-mwcumeknro
77586,vdo-ufpcecvmse
77561,purflux-wjfkxxbnpk
77588,ferodo-umzqusmhbh
77575,bosch-vfcyraatut
77518,valeo-fiqiwhemzv
77747,brembo-hrhnhtlime
77750,ferodo-cjclckoequ
77723,bosch-ejenqymbtq
77518,delphi-vogubgdhob
77438,bosch-wknhexojve
77532,mann-fzznxqrgfy
77730,bosch-odtsbjmdcs
